20x20 | APQUnsortedList | 0.000798 sec | Path Length from (0, 0) to (10, 10): 60
40x40 | APQUnsortedList | 0.003260 sec | Path Length from (0, 0) to (20, 20): 232
60x60 | APQUnsortedList | 0.009301 sec | Path Length from (0, 0) to (30, 30): 482
80x80 | APQUnsortedList | 0.020247 sec | Path Length from (0, 0) to (40, 40): 817
100x100 | APQUnsortedList | 0.036878 sec | Path Length from (0, 0) to (50, 50): 1236
120x120 | APQUnsortedList | 0.063456 sec | Path Length from (0, 0) to (60, 60): 1709
140x140 | APQUnsortedList | 0.105408 sec | Path Length from (0, 0) to (70, 70): 2467
160x160 | APQUnsortedList | 0.160776 sec | Path Length from (0, 0) to (80, 80): 3243
180x180 | APQUnsortedList | 0.208844 sec | Path Length from (0, 0) to (90, 90): 3968
200x200 | APQUnsortedList | 0.283467 sec | Path Length from (0, 0) to (100, 100): 4695
220x220 | APQUnsortedList | 0.381146 sec | Path Length from (0, 0) to (110, 110): 5576
240x240 | APQUnsortedList | 0.490340 sec | Path Length from (0, 0) to (120, 120): 6993
260x260 | APQUnsortedList | 0.623704 sec | Path Length from (0, 0) to (130, 130): 8530
280x280 | APQUnsortedList | 0.789453 sec | Path Length from (0, 0) to (140, 140): 9247
300x300 | APQUnsortedList | 0.963284 sec | Path Length from (0, 0) to (150, 150): 10531
320x320 | APQUnsortedList | 1.138039 sec | Path Length from (0, 0) to (160, 160): 11878
340x340 | APQUnsortedList | 1.380741 sec | Path Length from (0, 0) to (170, 170): 14043
360x360 | APQUnsortedList | 1.635780 sec | Path Length from (0, 0) to (180, 180): 15575
380x380 | APQUnsortedList | 1.966757 sec | Path Length from (0, 0) to (190, 190): 17542
400x400 | APQUnsortedList | 2.255509 sec | Path Length from (0, 0) to (200, 200): 19692
420x420 | APQUnsortedList | 2.578821 sec | Path Length from (0, 0) to (210, 210): 20552
440x440 | APQUnsortedList | 2.942701 sec | Path Length from (0, 0) to (220, 220): 23273
460x460 | APQUnsortedList | 3.375868 sec | Path Length from (0, 0) to (230, 230): 24939
480x480 | APQUnsortedList | 3.880582 sec | Path Length from (0, 0) to (240, 240): 26962
500x500 | APQUnsortedList | 4.338560 sec | Path Length from (0, 0) to (250, 250): 29159
