Grid Size  Binary Heap Time     Unsorted List Time  
400        0.000599             0.000544            
1600       0.003145             0.003339            
3600       0.007727             0.009562            
6400       0.014295             0.020609            
10000      0.024689             0.037580            
14400      0.036789             0.062186            
19600      0.055568             0.101445            
25600      0.098756             0.150975            
32400      0.111954             0.238808            
40000      0.135757             0.306993            
48400      0.180398             0.405518            
57600      0.224193             0.522801            
67600      0.264088             0.653257            
78400      0.297093             0.816930            
90000      0.350304             1.023314            
102400     0.424042             1.199059            
115600     0.485339             1.423045            
129600     0.548227             1.699293            
144400     0.598890             1.995717            
160000     0.669192             2.302428            
176400     0.761310             2.654132            
193600     0.783133             3.109977            
211600     0.978245             3.456397            
230400     1.002960             3.945620            
250000     1.128749             4.418675            
